"IncidentID","Incidents","Location","Building","Longtitude","Latitude","Status","Time"
1,"LOST AND FOUND","YIH","SRC MINI GRAND STAND",1.298645794,103.7777397,"Open",2019-02-13 13:05:00
1,"LOST AND FOUND","YIH","SRC MINI GRAND STAND",1.298645794,103.7777397,"Close",2019-02-15 14:34:48
2,"LOST AND FOUND","PGP","PGP RESIDENCES (BLOCK 13)",1.290867796,103.7802755,"Open",2019-03-02 13:55:00
2,"LOST AND FOUND","PGP","PGP RESIDENCES (BLOCK 13)",1.290867796,103.7802755,"Close",2019-03-04 23:50:15
3,"LOST AND FOUND","PGP","PGP RESIDENCES CANTEEN 2",1.290619681,103.7816946,"Open",2019-03-18 03:05:00
3,"LOST AND FOUND","PGP","PGP RESIDENCES CANTEEN 2",1.290619681,103.7816946,"Close",2019-03-20 18:08:32
4,"LOST AND FOUND","KV","KENT VALE APARTMENT BLK G, 115",1.30249388,103.7703148,"Open",2018-11-16 16:42:00
4,"LOST AND FOUND","KV","KENT VALE APARTMENT BLK G, 115",1.30249388,103.7703148,"Close",2018-11-20 08:10:12
5,"DAMAGED PROPERTY","UTown","YALE FITNESS CENTER",1.307478693,103.7725849,"Open",2018-09-28 14:03:00
5,"DAMAGED PROPERTY","UTown","YALE FITNESS CENTER",1.307478693,103.7725849,"Close",2018-10-04 21:55:58
6,"LOST AND FOUND","UCC","NATIONAL SINGAPORE WIND TUNNEL",1.300768273,103.7753832,"Open",2019-11-15 04:10:00
6,"LOST AND FOUND","UCC","NATIONAL SINGAPORE WIND TUNNEL",1.300768273,103.7753832,"Close",2019-11-17 21:01:38
7,"LOST AND FOUND","BTC","20 EVANS BUNGALOW",1.318059047,103.8199399,"Open",2018-10-31 00:28:00
7,"LOST AND FOUND","BTC","20 EVANS BUNGALOW",1.318059047,103.8199399,"Close",2018-11-03 00:13:58
8,"SEXUAL INCIDENTS","FOS","SCIENCE BLOCK 12",1.296959412,103.778681,"Open",2019-04-25 20:04:00
8,"SEXUAL INCIDENTS","FOS","SCIENCE BLOCK 12",1.296959412,103.778681,"Close",2019-05-04 12:59:28
9,"STOLEN ITEMS","SOC","COMPUTING BLOCK 2",1.294225262,103.7740172,"Open",2019-04-24 22:18:00
9,"STOLEN ITEMS","SOC","COMPUTING BLOCK 2",1.294225262,103.7740172,"Close",2019-04-27 15:47:31
10,"LOST AND FOUND","HALL","KENT RIDGE (COMMUNAL HALL)",1.29179854,103.7747805,"Open",2019-10-11 10:56:00
10,"LOST AND FOUND","HALL","KENT RIDGE (COMMUNAL HALL)",1.29179854,103.7747805,"Close",2019-10-13 23:49:50
11,"EMERGENCY INCIDENTS","KV","KENT VALE APARTMENT BLK A,103",1.301286274,103.7690165,"Open",2019-01-21 19:40:00
11,"EMERGENCY INCIDENTS","KV","KENT VALE APARTMENT BLK A,103",1.301286274,103.7690165,"Close",2019-01-22 18:17:34
12,"LOST AND FOUND","HALL","KENT VALE GUARDHOUSE",1.302213361,103.7692536,"Open",2019-05-19 05:07:00
12,"LOST AND FOUND","HALL","KENT VALE GUARDHOUSE",1.302213361,103.7692536,"Close",2019-05-22 14:00:03
13,"DAMAGED PROPERTY","PGP","INNOVATION 4.0",1.294254531,103.775948,"Open",2019-06-14 02:03:00
13,"DAMAGED PROPERTY","PGP","INNOVATION 4.0",1.294254531,103.775948,"Close",2019-06-21 20:13:28
14,"LOST AND FOUND","KV","COMMUNAL BLK B",1.302552874,103.7685982,"Open",2019-04-16 13:11:00
14,"LOST AND FOUND","KV","COMMUNAL BLK B",1.302552874,103.7685982,"Close",2019-04-19 17:51:26
15,"LOST AND FOUND","UTown","CINNAMON UNI SCH PROG (USP)",1.306525122,103.7734295,"Open",2019-01-04 05:29:00
15,"LOST AND FOUND","UTown","CINNAMON UNI SCH PROG (USP)",1.306525122,103.7734295,"Close",2019-01-07 15:16:16
16,"DAMAGED PROPERTY","CDE","CTR FOR ENGLISH LANGUAGE COMMUNICATION",1.297113412,103.7714078,"Open",2019-01-17 21:32:00
16,"DAMAGED PROPERTY","CDE","CTR FOR ENGLISH LANGUAGE COMMUNICATION",1.297113412,103.7714078,"Close",2019-01-26 00:27:06
17,"LOST AND FOUND","PGP","TECH CTR FOR OFFSHORE & MARINE",1.293515294,103.7769167,"Open",2019-01-16 05:41:00
17,"LOST AND FOUND","PGP","TECH CTR FOR OFFSHORE & MARINE",1.293515294,103.7769167,"Close",2019-01-19 03:18:35
18,"SEXUAL INCIDENTS","BTC","BTC-MANASSEH MEYER",1.319098649,103.8176172,"Open",2019-04-04 19:25:00
18,"SEXUAL INCIDENTS","BTC","BTC-MANASSEH MEYER",1.319098649,103.8176172,"Close",2019-04-15 05:40:01
19,"LOST AND FOUND","YIH","SRC MINI GRAND STAND",1.298645794,103.7777397,"Open",2018-11-01 14:49:00
19,"LOST AND FOUND","YIH","SRC MINI GRAND STAND",1.298645794,103.7777397,"Close",2018-11-04 02:12:39
20,"STOLEN ITEMS","KR","1 KR BUNGALOW",1.293041343,103.7811579,"Open",2018-10-15 06:22:00
20,"STOLEN ITEMS","KR","1 KR BUNGALOW",1.293041343,103.7811579,"Close",2018-10-16 11:06:53
21,"STOLEN ITEMS","KV","COMMUNAL BLK A, 121",1.302400027,103.7689415,"Open",2019-06-26 16:22:00
21,"STOLEN ITEMS","KV","COMMUNAL BLK A, 121",1.302400027,103.7689415,"Close",2019-06-28 22:09:45
22,"LOST AND FOUND","CDE","ENGINEERING BLOCK 2",1.299314011,103.7711967,"Open",2019-02-25 08:26:00
22,"LOST AND FOUND","CDE","ENGINEERING BLOCK 2",1.299314011,103.7711967,"Close",2019-02-28 07:45:18
23,"LOST AND FOUND","HALL","TEMASEK HALL (COMMUNAL HALL)",1.292822129,103.7714113,"Open",2018-09-03 08:20:00
23,"LOST AND FOUND","HALL","TEMASEK HALL (COMMUNAL HALL)",1.292822129,103.7714113,"Close",2018-09-06 12:02:44
24,"EMERGENCY INCIDENTS","UCC","BOOSTER PUMP HSE(NEXT LKCNHM)",1.301382961,103.7733115,"Open",2018-11-12 12:38:00
24,"EMERGENCY INCIDENTS","UCC","BOOSTER PUMP HSE(NEXT LKCNHM)",1.301382961,103.7733115,"Close",2018-11-15 06:17:36
25,"DAMAGED PROPERTY","UTown","YALE EAST CORE",1.305538246,103.7720734,"Open",2019-01-28 07:27:00
25,"DAMAGED PROPERTY","UTown","YALE EAST CORE",1.305538246,103.7720734,"Close",2019-02-02 11:18:20
26,"LOST AND FOUND","YIH","YUSOF ISHAK HOUSE",1.29851672,103.7749707,"Open",2019-04-29 21:47:00
26,"LOST AND FOUND","YIH","YUSOF ISHAK HOUSE",1.29851672,103.7749707,"Close",2019-05-04 01:03:10
27,"LOST AND FOUND","PGP","KE VII HALL (BLOCK F)",1.293186194,103.7808347,"Open",2019-10-08 14:23:00
27,"LOST AND FOUND","PGP","KE VII HALL (BLOCK F)",1.293186194,103.7808347,"Close",2019-10-11 04:39:26
28,"LOST AND FOUND","PGP","PGP RESIDENCES (BLOCK 25)",1.290200342,103.7806037,"Open",2019-03-14 18:55:00
28,"LOST AND FOUND","PGP","PGP RESIDENCES (BLOCK 25)",1.290200342,103.7806037,"Close",2019-03-17 16:09:48
29,"STOLEN ITEMS","PGP","PGP RESIDENCES (BLOCK 16)",1.291523732,103.7801396,"Open",2019-10-10 18:01:00
29,"STOLEN ITEMS","PGP","PGP RESIDENCES (BLOCK 16)",1.291523732,103.7801396,"Close",2019-10-11 21:54:50
30,"LOST AND FOUND","HALL","KENT RIDGE (COMMUNAL HALL)",1.29179854,103.7747805,"Open",2019-02-07 17:50:00
30,"LOST AND FOUND","HALL","KENT RIDGE (COMMUNAL HALL)",1.29179854,103.7747805,"Close",2019-02-11 00:24:47
31,"EMERGENCY INCIDENTS","FOS","NUHS-MAIN BUILDING",1.294399964,103.7835039,"Open",2018-12-07 17:09:00
