,Unnamed: 0,Classification,Disposition,datetime
0,0,Theft: Criminal Mischief,Unfounded,2022-11-06 15:15:00
1,1,Harassment: Bias Incident,Unfounded,2022-11-10 22:06:00
2,2,Fraud,Open Investigation,2023-05-13 08:41:00
3,3,Harassment,Open Investigation,2022-09-08 19:38:00
4,4,Trespass,Closed,2023-03-12 10:13:00
5,5,Theft,Open Investigation,2022-12-22 04:26:00
6,6,Theft,Open Investigation,2023-01-05 02:07:00
7,7,Theft,Open Investigation,2023-10-04 11:59:00
8,8,Trespassing,Open Investigation,2023-10-06 09:12:00
9,9,Rape,Arrest,2023-02-25 14:28:00
10,10,Theft,Open Investigation,2022-12-08 10:46:00
11,11,Harassment,Open Investigation,2022-12-26 12:25:00
12,12,Theft,Arrest,2023-05-29 13:23:00
13,13,Assault,Open Investigation,2023-11-03 16:34:00
14,14,Trespassing,Arrest,2023-11-12 22:59:00
15,15,Domestic Violence: Harassment,Open Investigation,2023-09-17 01:00:00
16,16,Shoplifting,Unfounded,2022-12-17 09:42:00
17,17,Burglary,Open Investigation,2022-11-17 11:06:00
18,18,Attempted Extortion,Unfounded,2023-05-28 09:14:00
19,19,Assault: Domestic Violence,Open Investigation,2023-06-14 23:34:00
20,20,Defiant Trespass: Aggravated Assault,Open Investigation,2023-01-15 12:27:00
21,21,Trespassing,Closed,2023-03-03 18:09:00
22,22,Shoplifting,Closed,2023-11-29 23:51:00
23,23,Theft,Unfounded,2023-02-17 23:56:00
24,24,Extortion,Unfounded,2023-07-09 10:48:00
25,25,Theft,Open Investigation,2023-05-17 23:45:00
26,26,Harassment: Bias Incident, Arrest,2023-06-11 12:43:00
27,27,False Public Alarm,Open Investigation,2023-08-16 00:08:00
28,28,Shoplifting,Open Investigation,2023-09-18 03:10:00
29,29,Trespassing,unfounded,2022-12-25 01:36:00
30,30,Disorderly Conduct,Closed,2023-12-10 17:22:00
31,31,Theft,Unfounded,2023-09-17 02:16:00
32,32,Theft,Open Investigation,2023-03-18 03:35:00
33,33,Assault,Open Investigation,2023-12-07 01:49:00
34,34,Criminal Mischief,Open Investigation,2023-06-17 16:27:00
35,35,Harassment: Bias Incident,Open Investigation,2022-10-23 23:19:00
36,36,Rape, Arrest,2023-04-23 02:19:00
37,37,Harassment: Bias Incident,Arrest,2022-10-26 02:42:00
38,38,Service of Warrant,Open Investigation,2022-12-21 03:50:00
39,39,Rape,Closed,2023-09-04 10:14:00
40,40,Theft,Open Investigation,2023-02-26 11:42:00
41,41,Criminal Mischief,Open Investigation,2022-10-02 05:19:00
42,42,Criminal Mischief,Arrest,2023-11-14 03:38:00
43,43,Intimidation,,2022-12-08 00:51:00
44,44,Obstruction of Justice,Judicial Referral,2022-12-04 16:41:00
45,45,Rape, Arrest,2023-05-22 21:30:00
46,46,Trespass,Unfounded,2023-02-21 14:23:00
47,47,Shoplifting ,Open Investigation,2023-08-27 16:20:00
48,48,Theft,Open Investigation,2023-04-23 00:07:00
49,49,Theft,Open Investigation,2023-10-08 12:24:00
50,50,Theft,Open Investigation,2023-08-08 18:03:00
51,51,Disorderly Conduct,Open Investigation,2022-09-20 18:26:00
52,52,Theft: Bias Incident,Open Investigation,2023-03-17 09:58:00
53,53,Fraud,Open Investigation,2023-04-16 19:49:00
54,54,Fraud, Arrest,2022-12-19 07:43:00
55,55,False Public Alarm,Open Investigation,2023-02-02 14:06:00
56,56,Harassment,Open Investigation,2022-10-27 17:11:00
57,57,Shoplifting,Arrest,2023-02-12 06:49:00
58,58,Attempted Theft,Open Investigation,2023-01-11 20:56:00
59,59,Theft,Open Investigation,2022-11-27 18:22:00
60,60,Attempted Trespass 2,Open Investigation,2023-02-09 01:07:00
61,61,Trespassing,Open Investigation,2023-11-03 06:27:00
62,62,Trespassing,Unfounded,2022-09-15 04:17:00
63,63,Theft,Open Investigation,2023-03-28 20:03:00
64,64,Stalking,Open Investigation,2022-12-10 07:15:00
65,65,Shoplifting ,Open Investigation,2023-04-28 16:28:00
66,66,Shoplifting,Arrest,2023-02-07 19:14:00
67,67,Harassment,,2022-11-23 09:12:00
68,68,Theft,Open Investigation,2023-09-16 20:56:00
69,69,Trespassing,Unfounded,2023-07-26 04:27:00
70,70,Criminal Mischief,Open Investigation,2023-05-15 22:52:00
71,71,Defiant Trespass,Judicial Referral,2023-04-22 15:08:00
72,72,Hindering Possession of Burglary Tools, Open Investigation,2023-03-05 00:44:00
73,73,Trespass,Open Investigation,2023-05-25 03:03:00
74,74,Theft,Open Investigation,2023-01-20 21:13:00
75,75,Assault,Arrest,2023-06-07 04:03:00
76,76,Trespassing,Arrest,2022-12-13 16:45:00
77,77,Disorderly Conduct,Open Investigation,2023-01-14 16:53:00
78,78,Trespassing,Unfounded,2022-12-12 21:43:00
79,79,Theft,Judicial Referral,2023-06-15 07:10:00
80,80,Theft,Open Investigation,2023-03-03 09:38:00
81,81,Lewdness,Unfounded,2023-01-22 17:01:00
82,82,Trespassing,Open Investigation,2023-06-07 16:43:00
83,83,Hindering Possession of Burglary Tools,Open Investigation,2023-10-25 01:43:00
84,84,Trespassing,Closed,2023-10-06 03:46:00
85,85,Theft,Open Investigation,2023-09-18 22:33:00
86,86,Criminal Mischief,Open Investigation,2023-10-17 10:01:00
87,87,Shoplifting,Arrest,2022-10-25 10:58:00
88,88,Theft,Open Investigation,2023-03-24 07:01:00
89,89,Harassment: Trespassing,Open Investigation,2022-10-20 13:31:00
90,90,Shoplifting,Open Investigation,2023-05-31 12:53:00
91,91,Burglary,Unfounded,2023-07-11 05:02:00
92,92,Harassment: Bias Incident,Open Investigation,2023-09-14 11:23:00
93,93,Theft: Criminal Mischief,Arrest,2023-05-22 11:33:00
94,94,Assault,Unfounded,2023-02-25 19:27:00
95,95,Attempted Extortion,unfounded,2023-06-17 21:05:00
96,96,Trespassing,unfounded,2023-11-23 15:17:00
97,97,Bias Intimidation,Open Investigation,2023-07-09 03:13:00
98,98,Theft,Open Investigation,2023-03-08 23:54:00
99,99,Assault,Open Investigation,2023-07-05 06:34:00
100,100,Service of Warrant,Open Investigation,2023-02-09 06:04:00
101,101,Theft,Closed,2023-11-03 16:39:00
102,102,Theft,Open Investigation,2023-04-05 10:45:00
103,103,Harassment: Domestic Violence,Open Investigation,2022-12-26 15:53:00
104,104,Harassment,Closed,2022-12-25 03:25:00
105,105,Trespass,Open Investigation,2022-09-22 23:48:00
106,106,Theft: Bias Incident,Open Investigation,2023-09-12 23:12:00
107,107,Harassment: Bias Incident,Closed,2023-07-19 09:37:00
108,108,Shoplifting, Open Investigation,2023-02-04 12:32:00
109,109,Shoplifting,Open Investigation,2023-06-16 04:22:00
110,110,Shoplifting,Closed,2022-12-07 09:28:00
111,111,Trespass,Open Investigation,2022-10-06 21:29:00
112,112,Shoplifting,Unfounded,2022-09-26 15:06:00
113,113,Harassment,Open Investigation,2023-02-22 20:02:00
114,114,Burglary,Judicial Referral,2022-11-18 07:51:00
115,115,Theft,Arrest,2022-11-16 14:26:00
116,116,Criminal Mischief,Unfounded,2023-07-25 02:36:00
117,117,Harassment,Open Investigation,2023-01-15 08:46:00
118,118,Criminal Mischief,Open Investigation,2023-07-09 20:06:00
119,119,Fraud,Open Investigation,2023-03-25 06:30:00
120,120,Attempted Trespass 2,Judicial Referral,2023-02-24 04:17:00
121,121,False Public Alarm,Open Investigation,2022-10-20 00:25:00
122,122,Extortion,Unfounded,2023-05-01 05:03:00
123,123,Criminal Mischief,Open Investigation,2023-11-15 17:51:00
124,124,False Public Alarm,Arrest,2022-10-12 23:02:00
125,125,Trespass,Arrest,2022-11-11 10:35:00
126,126,Criminal Mischief,Open Investigation,2022-08-27 00:50:00
127,127,Trespassing,Arrest,2022-10-30 08:33:00
128,128,Harassment: Domestic Violence,Open Investigation,2023-08-29 12:13:00
129,129,Theft,Open Investigation,2022-10-24 00:41:00
130,130,Theft,Unfounded,2023-06-11 13:54:00
131,131,Trespass,Open Investigation,2023-03-16 04:41:00
132,132,Lewdness,Arrest,2023-12-09 13:51:00
133,133,Rape,Open Investigation,2023-10-29 22:48:00
134,134,Theft,Open Investigation,2023-02-16 10:50:00
135,135,Harassment,Judicial Referral,2022-10-31 09:49:00
136,136,Theft,Open Investigation,2023-05-08 13:04:00
137,137,Trespass,Open Investigation,2022-12-21 12:41:00
138,138,Fraud,Open Investigation,2023-09-23 10:37:00
139,139,Shoplifting,Open Investigation,2023-09-17 15:34:00
140,140,Assault,Open Investigation,2022-12-20 19:53:00
141,141,Attempted Extortion,Arrest,2023-02-04 03:51:00
142,142,Trespassing,Open Investigation,2022-12-31 15:50:00
143,143,Attempted Extortion,Open Investigation,2023-02-23 19:16:00
144,144,Shoplifting,Arrest,2023-06-22 11:53:00
145,145,Theft,Open Investigation,2023-04-21 01:47:00
146,146,Assault,Unfounded,2023-01-30 23:29:00
147,147,Theft,Open Investigation,2022-09-12 10:34:00
