,Classification,Disposition,datetime
0,Criminal Mischief,Open Investigation,2022-11-12 02:03:13
1,Harassment: Domestic Violence,Open Investigation,2023-08-09 22:00:16
2,Criminal Mischief,Open Investigation,2023-05-07 00:35:46
3,Trespassing, Arrest,2022-12-26 10:18:30
4,Burglary,Arrest,2022-12-07 08:42:14
5,Trespass,Closed,2023-04-28 06:43:35
6,Harassment: Domestic Violence,Open Investigation,2023-07-01 15:49:29
7,Shoplifting,Arrest,2022-12-15 18:53:54
8,Fraud,Open Investigation,2023-10-14 10:39:48
9,Theft,Unfounded,2023-07-19 18:14:08
10,Rape,Closed,2022-12-23 14:52:43
11,Theft,Open Investigation,2023-01-01 19:08:23
12,Harassment,Open Investigation,2023-06-07 16:24:44
13,Trespassing,,2023-10-13 08:29:55
14,Theft,Open Investigation,2023-03-26 19:43:58
15,Harassment,Open Investigation,2023-09-18 12:05:24
16,Fraud,Open Investigation,2023-02-28 04:55:37
17,Rape,Closed,2022-11-13 06:15:10
18,Trespassing,Arrest,2023-06-14 23:48:38
19,Trespassing,Open Investigation,2023-06-03 04:36:37
20,False Public Alarm,Open Investigation,2023-03-05 18:23:55
21,Service of Warrant,Arrest,2023-01-10 17:15:25
22,Trespassing, Arrest,2022-11-21 09:34:44
23,Burglary,Arrest,2023-04-05 17:45:26
24,Trespassing,,2023-10-02 01:33:42
25,Aggravated Assault,Arrest,2023-06-30 10:11:29
26,Trespassing,,2023-10-31 20:56:14
27,Theft,Unfounded,2022-11-20 09:34:04
28,Terroristic Threats,Open Investigation,2023-05-04 03:40:20
29,Theft,Unfounded,2022-12-18 22:00:38
30,Trespassing,Arrest,2023-07-23 17:42:48
31,Criminal Mischief,Open Investigation,2023-03-07 02:26:34
32,Shoplifting,Arrest,2023-01-26 11:25:31
33,Trespass,Arrest,2023-04-21 15:38:01
34,Trespassing,Open Investigation,2023-10-12 09:46:39
35,Theft,Unfounded,2023-05-19 14:20:14
36,Theft,Unfounded,2023-09-09 18:04:33
37,Harassment,Open Investigation,2023-02-22 11:59:31
38,Theft,Open Investigation,2023-05-14 19:39:29
39,Theft,Unfounded,2023-04-03 20:30:49
40,Criminal Mischief,Open Investigation,2023-08-22 17:58:47
41,Theft,Open Investigation,2023-05-09 21:07:30
42,Trespass,Arrest,2022-12-06 19:10:40
43,Obstruction of Justice,Unfounded,2023-02-11 17:58:32
44,Shoplifting,Judicial Referral,2022-11-09 15:45:19
45,Hindering Possession of Burglary Tools,Arrest,2023-05-22 07:16:03
46,Theft,Unfounded,2023-08-26 22:23:49
47,Trespassing,Arrest,2023-05-13 12:21:30
48,Trespassing,Open Investigation,2023-03-13 10:21:29
49,Trespassing,Closed,2023-04-30 17:30:53
50,Burglary,Arrest,2023-02-22 16:22:04
51,Trespassing,,2023-01-08 06:22:56
52,Theft,Open Investigation,2023-01-12 07:28:10
53,Burglary,Arrest,2022-12-11 19:19:27
54,Theft,Open Investigation,2023-04-09 03:25:04
55,Shoplifting,Arrest,2022-11-25 22:07:26
56,Assault,Open Investigation,2023-01-02 09:12:00
57,Lewdness,Arrest,2023-02-22 02:14:21
58,Theft,Unfounded,2023-03-26 18:32:49
59,Theft,Unfounded,2023-04-27 18:42:51
60,Theft,Open Investigation,2023-09-03 08:32:43
61,Assault,Arrest,2023-04-16 08:24:59
62,Criminal Mischief,Open Investigation,2022-12-12 06:31:02
63,Theft,Unfounded,2023-05-05 20:34:47
