,Classification,Disposition,datetime
0,Obstruction of Justice,Open Investigation,02/13/2023 13:05
1,Theft,Open Investigation,03/02/2023 13:55
2,Liquor Law Violation,Open Investigation,03/18/2023 03:05
3,Theft,Open Investigation,11/16/2022 16:42
4,Assault,Open Investigation,09/28/2022 14:03
5,False Public Alarm,Closed,11/15/2023 04:10
6,Theft,Open Investigation,10/31/2022 00:28
7,Disorderly Conduct,Unfounded,04/25/2023 20:04
8,Shoplifting,Arrest,04/24/2023 22:18
9,Harassment: Bias Incident,Closed,10/11/2023 10:56
10,Trespass,Closed,01/21/2023 19:40
11,False Public Alarm,Open Investigation,05/19/2023 05:07
12,Trespassing,Closed,06/14/2023 02:03
13,Identity Theft,Open Investigation,04/16/2023 13:11
14,Harassment: Bias Incident, Arrest,01/04/2023 05:29
15,Harassment,Arrest,01/17/2023 21:32
16,False Public Alarm,Arrest,01/16/2023 05:41
17,Lewdness,Arrest,04/04/2023 19:25
18,Theft,Arrest,11/01/2022 14:49
19,Shoplifting,,10/15/2022 06:22
20,Shoplifting,Arrest,06/26/2023 16:22
21,Theft,Open Investigation,02/25/2023 08:26
22,Harassment: Trespassing,Closed,09/03/2022 08:20
23,Trespass,Open Investigation,11/12/2022 12:38
24,Assault,Closed,01/28/2023 07:27
25,Theft: Bias Incident,Judicial Referral,04/29/2023 21:47
26,Extortion,Open Investigation,10/08/2023 14:23
27,Attempted Fraud,Open Investigation,03/14/2023 18:55
28,Shoplifting,Closed,10/10/2023 18:01
29,Theft,Open Investigation,02/07/2023 17:50
30,Trespass,Unfounded,12/07/2022 17:09
31,Harassment: Bias Incident,Open Investigation,01/31/2023 00:33
32,False Public Alarm,Open Investigation,11/26/2023 20:06
33,Shoplifting,Open Investigation,06/19/2023 02:33
34,Assault,Open Investigation,10/03/2023 12:30
35,Trespass, Closed,06/18/2023 02:24
36,Criminal Mischief,Arrest,03/26/2023 13:09
37,Harassment,Open Investigation,07/10/2023 13:34
38,Criminal Mischief,Open Investigation,06/01/2023 16:25
39,Theft,Open Investigation,09/19/2023 21:26
40,Fraud,Open Investigation,03/23/2023 19:15
41,Shoplifting,Closed,04/08/2023 19:16
42,Trespassing,Unfounded,09/03/2023 01:23
43,Theft, Arrest,05/23/2023 07:33
44,Theft,Open Investigation,04/02/2023 16:30
45,Disorderly Conduct,Open Investigation,10/21/2023 07:09
46,Trespassing,Open Investigation,09/19/2023 04:30
47,Harassment: Fraud,Closed,06/12/2023 11:22
48,Trespass,Closed,01/07/2023 22:13
49,Attempted Trespass 2,Open Investigation,03/12/2023 12:03
50,Theft,Open Investigation,11/21/2023 07:34
51,Theft, Open Investigation,03/15/2023 23:29
52,Trespassing,Arrest,03/01/2023 22:03
53,Theft,Open Investigation,01/15/2024 10:37
54,Fraud,Open Investigation,07/12/2023 19:55
55,Harassment,Arrest,01/24/2023 01:57
56,Criminal Mischief,Arrest,01/25/2023 09:17
57,False Public Alarm,Open Investigation,09/29/2022 16:30
58,Harassment: Bias Incident, Open Investigation,04/04/2023 17:32
59,Theft,Open Investigation,12/01/2023 09:34
60,Assault,Unfounded,11/11/2023 12:54
61,Criminal Mischief,unfounded,04/26/2023 15:06
62,Shoplifting,Open Investigation,01/12/2023 14:32
63,Assault: Domestic Violence,,09/05/2022 16:20
64,Trespassing,Open Investigation,03/04/2023 13:30
65,Attempted Fraud,Judicial Referral,03/10/2023 07:58
66,Domestic Violence: Harassment,Open Investigation,11/11/2023 17:09
67,Bias Intimidation,Open Investigation,04/19/2023 05:05
68,Shoplifting, Closed,06/19/2023 13:37
69,Extortion,Open Investigation,04/06/2023 17:05
70,Fraud, Open Investigation,10/14/2022 03:48
71,Trespassing,Unfounded,06/15/2023 03:16
72,Theft,Open Investigation,12/27/2022 09:41
73,Fraud,Open Investigation,01/10/2023 01:20
74,Burglary,Open Investigation,04/05/2023 17:06
75,Trespassing,Open Investigation,10/15/2023 20:34
76,Theft: Bias Incident,Open Investigation,10/07/2022 09:10
77,Harassment,Open Investigation,07/22/2023 22:23
78,Harassment: Fraud,Unfounded,12/17/2022 16:09
79,Theft,Open Investigation,01/01/2023 21:34
80,Trespass,Open Investigation,12/29/2022 19:00
81,Trespass,Closed,08/14/2023 02:36
82,Criminal Mischief,Unfounded,05/05/2023 02:53
83,Defiant Trespass,Arrest,04/06/2023 20:38
84,Terroristic Threats,Open Investigation,02/15/2023 05:52
85,Trespassing, Closed,05/02/2023 00:13
86,Trespassing,Open Investigation,12/20/2022 14:22
87,Theft,Open Investigation,08/19/2023 02:53
88,Theft,Unfounded,01/23/2023 08:37
89,Theft: Criminal Mischief,Closed,08/23/2023 00:22
90,Shoplifting,Open Investigation,09/15/2023 15:19
91,Criminal Mischief,Judicial Referral,10/08/2023 12:49
92,Criminal Mischief,Open Investigation,02/14/2023 06:14
93,Harassment: Bias Incident,Open Investigation,07/08/2023 10:49
94,Theft,,11/04/2023 08:57
95,Theft,Open Investigation,03/22/2023 06:43
96,Harassment,Open Investigation,10/10/2023 07:50
97,Theft,Open Investigation,08/11/2023 10:56
98,Fraud,Open Investigation,03/19/2023 06:32
99,Trespassing,Open Investigation,04/26/2023 04:34
100,Theft,Open Investigation,08/31/2023 06:58
101,Shoplifting,Open Investigation,06/03/2023 08:39
102,Burglary, Arrest,06/16/2023 14:50
103,Trespass,Open Investigation,10/03/2023 02:12
104,Theft: Criminal Mischief,Open Investigation,09/04/2023 18:58
105,Trespassing, Closed,04/01/2023 16:31
106,Shoplifting,Open Investigation,12/01/2022 19:05
