,Classification,Disposition,datetime
0,Theft,Open Investigation,03/30/2023 17:40
1,Harassment,Open Investigation,09/21/2022 17:04
2,Trespassing,Open Investigation,07/03/2023 10:10
3,Assault,Unfounded,01/03/2023 02:50
4,Trespassing,Open Investigation,12/07/2022 04:42
5,Theft,Open Investigation,06/21/2023 00:19
6,Theft, Arrest,02/02/2023 09:02
7,Trespassing,Open Investigation,05/04/2023 19:29
8,Domestic Violence: Harassment,Open Investigation,06/09/2023 06:22
9,Shoplifting,Open Investigation,08/05/2023 18:12
10,Trespass,Closed,03/26/2023 00:43
11,False Public Alarm,Open Investigation,12/13/2022 03:45
12,Rape,Open Investigation,06/19/2023 17:49
13,Shoplifting,Open Investigation,04/21/2023 15:01
14,Theft,Arrest,07/10/2023 22:12
15,Shoplifting,Arrest,08/25/2023 10:09
16,Fraud, Open Investigation,08/11/2023 15:30
17,Defiant Trespass: Aggravated Assault,Open Investigation,10/19/2022 05:16
18,Bias Intimidation,Open Investigation,03/09/2023 10:53
19,Theft,Arrest,01/02/2023 15:46
20,False Public Alarm,Closed,07/18/2023 09:19
21,Harassment: Domestic Violence,Arrest,10/27/2023 00:23
22,Trespassing,Arrest,11/16/2022 01:33
23,Shoplifting,Open Investigation,08/16/2023 20:47
24,Harassment: Stalking,Open Investigation,08/24/2023 06:35
25,Harassment,Open Investigation,10/08/2022 15:42
26,Criminal Mischief,Unfounded,09/09/2023 04:30
27,Theft,Open Investigation,09/24/2022 17:20
28,Fraud,Unfounded,04/23/2023 18:02
29,Trespass,Arrest,11/27/2023 18:05
30,Trespass,Open Investigation,04/14/2023 14:46
31,Fraud,Open Investigation,09/01/2022 14:50
32,Assault: Domestic Violence,Open Investigation,07/20/2023 09:39
33,Theft,Arrest,11/05/2022 05:22
34,Extortion,Closed,01/11/2023 17:14
35,Trespassing,Arrest,03/09/2023 12:59
36,Theft: Criminal Mischief,Closed,07/26/2023 17:00
37,Criminal Mischief,Open Investigation,07/27/2023 04:29
38,Trespassing, Open Investigation,09/11/2023 00:47
39,Theft,Closed,08/09/2023 01:31
40,Assault,Open Investigation,01/23/2023 08:56
41,Theft,Unfounded,01/21/2023 13:36
42,Rape,Unfounded,06/02/2023 10:45
43,Theft: Criminal Mischief, Open Investigation,08/04/2023 07:57
44,Trespassing,Open Investigation,06/09/2023 02:22
45,Shoplifting,Open Investigation,07/13/2023 21:50
46,Assault,Open Investigation,05/31/2023 16:54
47,Fraud,Open Investigation,10/04/2023 04:25
48,Theft,Open Investigation,02/02/2023 21:55
49,Theft,Closed,06/22/2023 09:12
50,Terroristic Threats,Open Investigation,12/16/2022 08:33
51,Attempted Fraud,Closed,06/10/2023 02:06
52,Attempted Extortion,Open Investigation,06/27/2023 20:32
53,Theft,Open Investigation,07/26/2023 22:58
